Date/Time,Word Count,en,ru-RU
2023.07.22-19.37.46,125,125,0
2023.07.22-20.35.50,125,125,20
2023.07.22-21.00.17,125,125,94
2023.07.22-21.00.48,126,126,94
2023.08.25-22.26.49,125,125,94
2023.08.29-20.47.50,174,174,98
2023.09.22-20.08.50,201,201,97
2023.09.22-20.34.45,200,200,110
2023.09.22-20.43.37,201,201,118
2023.09.22-20.44.40,199,199,118
2023.09.22-20.46.47,197,197,124
2023.09.23-18.54.16,197,197,126
2023.09.23-19.43.03,199,199,126
2023.09.23-21.47.14,232,232,126
2023.09.23-22.09.07,232,232,220
2023.09.23-22.10.07,232,232,228
2023.09.23-22.11.03,232,232,232
2023.09.23-23.28.17,235,235,232
2023.09.23-23.29.09,235,235,235
2023.09.27-22.29.15,243,243,235
2023.09.27-22.31.00,243,243,243
2023.10.01-16.40.38,246,246,243
2023.10.01-16.41.17,48,48,45
2023.10.01-16.41.49,336,336,45
2023.10.01-16.43.14,266,266,45
2023.10.01-16.44.31,262,262,45
2023.10.01-16.45.39,261,261,45
2023.10.01-16.50.37,261,261,52
2023.10.01-17.37.39,259,259,249
2023.10.01-17.40.32,258,258,251
2023.10.01-17.42.31,256,256,251
2023.10.01-17.47.42,255,255,251
2023.10.01-17.55.04,235,235,231
2023.10.01-17.56.38,674,674,231
2023.10.01-17.57.15,235,235,231
2023.10.01-18.02.07,247,247,231
2023.10.01-18.05.55,249,249,231
2023.10.01-18.08.02,243,243,231
2023.10.01-18.24.48,243,243,237
2023.10.02-22.03.11,243,243,238
2023.10.02-22.05.04,243,243,239
